"Educational attainment","Area of study (e.g. Computer Science, Civil engineering)","Professional Experience in Software development","Current role","Country","Rate your level of agreement with the following statements.  [I have experience with tools that allow the creation of diagrams from plain text or code (e.g. PlantUML, Mermaid.JS, others).]","Rate your level of agreement with the following statements.  [I am familiar with the Unified Modeling Language (UML).]","Rate your level of agreement with the following statements.  [I am familiar with UML component diagrams.]","Rate your level of agreement with the following statements.  [I am familiar with UML deployment diagrams.]","I think that with Infragenie, it is easy to... [create architectural diagrams.]","I think that with Infragenie, it is easy to... [keep architectural diagrams updated.]","I think that with Infragenie, it is easy to... [keep architectural diagrams consistent with the source-code.]","I think that with Infragenie, it is easy to... [add new information (not inferred from the source-code) to the diagrams.]","I think that with Infragenie, it is easy to... [change the generated architectural diagrams.]","I think that with Infragenie, it is easy to... [verify how changes may impact the architecture (e.g. adding new services, changing network ports, etc.).]","I think that Infragenie is useful to help ensure that architectural documentation is... [complete.]","I think that Infragenie is useful to help ensure that architectural documentation is... [consistent.]","I think that Infragenie is useful to help ensure that architectural documentation is... [precise.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to consult.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to understand.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to maintain.]","I think that Infragenie is useful to help ensure that architectural documentation is... [easier to update.]","I think that Infragenie is useful to help to... [plan future changes on the architecture.]","I think that Infragenie is useful to help to... [understand the impact of changes in the architecture.]","I think that Infragenie is useful to help to... [be more confident while introducing architectural changes.]","I think that Infragenie is useful to help to... [implement architectural changes faster.]","I think that the diagram provided by Infragenie shows [a complete view of the architecture.]","I think that the diagram provided by Infragenie shows [the most relevant elements of the architecture.]","If you think that something is not being represented by infragenie, could you please let us know what it is?","The edit capabilities of Infragenie allow to... [increase the diagram value.]","The edit capabilities of Infragenie allow to... [make the diagram more consistent.]","The edit capabilities of Infragenie allow to... [representing details that were not automatically captured.]","About the edit capabilities of Infragenie, are they useful to increase the diagram value or even to test out changes in the architecture? Let us know what do you think about this feature and how we can improve it.","Did the documentation of your projects include an architectural diagram(s) before using infragenie?","If yes, how do you compare it with the one generated by Infragenie?","Why?","I am considering to ... [add diagrams generated by Infragenie to my projects.]","I am considering to ... [use infragenie to visualize and plan changes in the architecture.]","I am considering to ... [use infragenie in new projects.]","Infragenie would be better if ... [more UML elements were available to use.]","Infragenie would be better if ... [it wasn't restricted to UML elements.]","Infragenie would be better if ... [it automatically detected architectural changes (keeping the diagram always updated without manual intervention).]","Leave us your comments. What did you think of the application, what improvements would you suggest and what new features would you like to have?"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Computer Science","5 to 9 years","Backend developer","Portugal","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Other parts of the architecture are not being managed by docker compose and it would be nice to have a view of those pieces also.","Strongly Agree","Strongly Agree","Strongly Agree","The feature is nice but is this too tied to what can be represented by the tool basically what is on the docker-compose file. It would be nice to add different elements and components to the diagram.","No","","","Agree","Neutral","Agree","Strongly agree","Neutral","Agree","Some sort of pipeline plugin to suggest changes. Also, opening a pull request is a bit invasive, although understandable why it works like that. Having the tool integrated into CI tools would be better."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science and Math","10 to 14 years","Engineer manager","Greece","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","It should be possible to choose the docker-compose file to analyze. For example dev and prod docker files generate different diagrams. ","Strongly Agree","Strongly Agree","Strongly Agree","It's a nice to have feature, although with some limitations.","No","","","Neutral","Neutral","Neutral","Strongly agree","Disagree","Neutral","It seems a cool application but needs some improvements."
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Computation","1 to 4 years","Software engineer","Germany","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Strongly Agree","Agree","Disagree","Agree","Strongly agree","","Agree","Agree","Agree","It should allow more components, it is limited.","No","","","Agree","Neutral","Neutral","Strongly agree","Neutral","Disagree","Nice tool. Hope to see compatibility with more technologies (ansible, chef, others)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Nuclear Power","15 or more","Cybersecurity lead engineer","USA","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","It lacks the analysis of other infrastructure files, rendering the diagram very incomplete.","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","It needs to look into all the architecture files on the project and not only to docker-compose. Other than that the tool is nice and can be very useful."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science","5 to 9 years","Infrastructure Engineer","China","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Disagree","Agree","Strongly agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Some connections between services are missing.","Agree","Agree","Agree","It lacks some elements and is limited.","Yes","Worst","Some connections were missing.","Neutral","Disagree","Disagree","Strongly agree","Neutral","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science","15 or more","Software developer","China","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","The editor is not flexible.","Yes","Better","The actual documentation is not comprehensive and is old.","Neutral","Neutral","Neutral","Strongly agree","Neutral","Strongly agree","The actual workflow is slow and immature."
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Informatics and Mathematic","15 or more","Principal Software Engineer","Germany","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","docker compose files do not have all the information, which sometimes results in incomplete diagrams. Integration with other files would make the application more useful.","Strongly Agree","Strongly Agree","Strongly Agree","They help to fill in what is missing in the docker-compose, although the process is not practical to keep the diagram always updated.","No","","","Neutral","Neutral","Neutral","Strongly agree","Disagree","Strongly agree","Mainly looking into other infrastructure artefacts (not only docker-compose). Having to go to the webpage is also not very practical. Auto-generating documentation should be more straightforward."
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Informatics","5 to 9 years","CTO","Estonia","Strongly agree","Agree","Neutral","Neutral","Strongly agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Overall the information was there.","Strongly Agree","Strongly Agree","Strongly Agree","That's probably what makes the application stand among others. Although the link to edit should be more accessible.","No","","","Neutral","Neutral","Neutral","Agree","Neutral","Agree","The application is still immature, the way it interacts with the code by creating pull requests is not ideal, and the editor needs some improvements."
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science And Engineering","5 to 9 years","DevOps Engineer","United Arab Emirates","Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","","Neutral","Agree","Agree","","No","Better","","Neutral","Neutral","Agree","Neutral","Neutral","Neutral",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer science and engineering","5 to 9 years","DevOps Engineer","Dubai","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","Much better","","Agree","Neutral","Agree","Agree","Neutral","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computerr science and engineering","5 to 9 years","Backend developer","Germany","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","It shows some more details like properties of services and the ports are easier to follow.","Strongly Agree","Agree","Strongly Agree","Strongly agree","Strongly disagree","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Telematic engineering","10 to 14 years","Mid-Level DevOps","Nicaragua","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","More elements available. Creating connections is difficult.","No","","","Agree","Neutral","Agree","Strongly agree","Disagree","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Mathematics","5 to 9 years","Digital Analytics & Data Specialist","Greece","Neutral","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","It detected a typo on one of the components. ","Agree","Neutral","Agree","Strongly agree","Neutral","Agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science","15 or more","Sr Software Engineer","USA","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Strongly agree","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Neutral","Neutral","Neutral","Strongly agree","Disagree","Agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Software Engineering","5 to 9 years","Head of Architecture and Infrastructure","Brasil","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","All the essential was there.","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","The previous diagram was really simple and not UML compliant.","Strongly Agree","Agree","Strongly Agree","Strongly agree","Neutral","Strongly agree",""
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Computer Science","10 to 14 years","IT administrator","Canada","Agree","Agree","Neutral","Neutral","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Better","It's more formal.","Agree","Neutral","Agree","Strongly agree","Neutral","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Computer Science","5 to 9 years","Software engineer","Switzerland","Agree","Agree","Neutral","Neutral","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Strongly agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","Yes","Much better","","Strongly Agree","Neutral","Agree","Strongly agree","Neutral","Strongly agree",""
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Electrical and electronics","1 to 4 years","engineer","China","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Strongly agree","","Strongly Agree","Strongly Agree","Strongly Agree","","No","","","Agree","Neutral","Agree","Agree","Strongly agree","Strongly agree",""
